ID,ra,dec,Angular size,experiment,Wavelength 1,Wavelength 2,Processed by:,"Notes (Bluer region, nice looking, clear data etc)",Cosmos imaging url (not for the colour gradient program!!),,,,,,,,,,,,
856060,150.052303,2.594779,4.35743,Subaru (Mosaics),V,B,Teo,"lines very close to each other, still more red, still decreasing",http://zoo-hst.s3.amazonaws.com/20150783.jpg,,,,,,,,,,,,
761339,149.850163,2.452241,4.18327,Subaru (Mosaics),V,B,Teo,same as below,http://zoo-hst.s3.amazonaws.com/20125661.jpg,,,,,,,,,,,,
763207,150.630237,2.454545,4.11033,Subaru (Mosaics),V,B,Teo,both decrease at the same rate with red on top,http://zoo-hst.s3.amazonaws.com/20107397.jpg,,,,,,,,,,,,
803830,150.600655,2.518795,4.14466,Subaru (Mosaics),V,B,Teo,both decrease at the same rate,http://zoo-hst.s3.amazonaws.com/20137619.jpg,,,,,,,,,,,,
804324,150.022402,2.516541,6.46948,Subaru (Mosaics),V,B,Teo,red decreases faster than blue,http://zoo-hst.s3.amazonaws.com/20152699.jpg,,,,,,,,,,,,
804330,150.405759,2.517993,5.9815,Subaru (Mosaics),V,B,Teo,"both of them increase, % shows that at larger distance blue increases, red decreases",http://zoo-hst.s3.amazonaws.com/20141849.jpg,,,,,,,,,,,,
444480,150.323495,1.971381,3.92124,Subaru (Mosaics),V,B,Teo,"both of them decrease, more red than blue",http://zoo-hst.s3.amazonaws.com/20061938.jpg,,,,,,,,,,,,
805633,150.232047,2.51936,5.5756,Subaru (Mosaics),V,B,Teo,both decrease; lines are identical; image looks like two galaxies next to each other,http://zoo-hst.s3.amazonaws.com/20145705.jpg,,,,,,,,,,,,
443428,149.580414,1.967804,5.20807,Subaru (Mosaics),V,B,Teo,same thing as the one below,http://zoo-hst.s3.amazonaws.com/20076153.jpg,,,,,,,,,,,,
920814,150.125437,2.697867,3.86171,Subaru (Mosaics),V,B,Teo,the lines are close so each; still decreasing; weird plot for% again,http://zoo-hst.s3.amazonaws.com/20177988.jpg,,,,,,,,,,,,
443852,150.424721,1.969431,4.30718,Subaru (Mosaics),V,B,Teo,"both decrease, the percentage graph looks a bit weird",http://zoo-hst.s3.amazonaws.com/20059069.jpg,,,,,,,,,,,,
446464,150.248681,1.972362,6.24641,Subaru (Mosaics),V,B,Teo,red decreases faster than blue,http://zoo-hst.s3.amazonaws.com/20062881.jpg,,,,,,,,,,,,
930422,149.573144,2.710603,5.719,Subaru (Mosaics),V,B,Teo,both increase and then they are decreasing,http://zoo-hst.s3.amazonaws.com/20185912.jpg,,,,,,,,,,,,
931801,150.645241,2.71476,7.75309,Subaru (Mosaics),V,B,Teo,both are decreasing,http://zoo-hst.s3.amazonaws.com/20164323.jpg,,,,,,,,,,,,
1001008,149.669301,2.826543,4.2111,Subaru (Mosaics),V,B,Teo,couldn't view the image,http://zoo-hst.s3.amazonaws.com/20198496.jpg,,,,,,,,,,,,
643256,149.856775,2.273135,5.37267,Subaru (Mosaics),V,B,Teo,"red decreases, blue stays constant",http://zoo-hst.s3.amazonaws.com/20096249.jpg,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NON-AGNS,,,,,,,,,,,,,,,,,,,,,
479295,149.490691,2.026158,5.6373,Subaru,V,B,Ishbel,very very faint,,,,,,,,,,,,,
599093,149.584295,2.210447,3.79525,Subaru,V,B,Ishbel,No variation in blue intensity just constantly v low. Slight decrease in red intensity.  Basically constant %.,,,,,,,,,,,,,
426691,149.614197,1.939609,7.06095,Subaru,V,B,Ishbel,two galaxies joined together,,,,,,,,,,,,,
666311,149.647389,2.311388,4.46959,Subaru,V,B,Ishbel,"Object really faint, Big object below it.... Both constant, basically a null result?",,,,,,,,,,,,,
486747,149.744328,2.038164,4.28237,Subaru,V,B,Ishbel,Point not on the object,,,,,,,,,,,,,
573095,149.74961,2.168825,4.31946,Subaru,V,B,Ishbel,"faint, decrease as radius increases, red % increase as radius increases",,,,,,,,,,,,,
817815,149.86662,2.538362,5.7243,Subaru,V,B,Ishbel,weird massive blob ,,,,,,,,,,,,,
598872,149.93641,2.209146,3.89165,Subaru,V,B,Ishbel,"Straight line both decrease. Around 15 on brightness, which is lower than most of the agns. Constant % through out.",,,,,,,,,,,,,
485148,149.977231,2.037398,3.60268,Subaru,V,B,Ishbel,Really random %. Up and down a lot.,,,,,,,,,,,,,
797456,149.999408,2.510391,4.86891,Subaru,V,B,Ishbel,"Bluer core, weird pattern. Could be 2 galaxies - would need to look at picture ",,,,,,,,,,,,,
930968,150.062943,2.711977,5.34523,Subaru,V,B,Ishbel,Not on the galaxy ,,,,,,,,,,,,,
456823,150.135573,1.990064,3.72974,Subaru,V,B,Ishbel,Classic non-AGN,,,,,,,,,,,,,
